Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
11/3/12,Sat,La Liga,Matchweek 10,Home,W 3–1,Barcelona,Celta Vigo,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
11/7/12,Wed,Champions Lg,Group stage,Away,L 1–2,es Barcelona,sct Celtic,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
11/11/12,Sun,La Liga,Matchweek 11,Away,W 4–2,Barcelona,Mallorca,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
11/17/12,Sat,La Liga,Matchweek 12,Home,W 3–1,Barcelona,Zaragoza,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
11/20/12,Tue,Champions Lg,Group stage,Away,W 3–0,es Barcelona,ru Spartak Moscow,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
11/25/12,Sun,La Liga,Matchweek 13,Away,W 4–0,Barcelona,Levante,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
12/1/12,Sat,La Liga,Matchweek 14,Home,W 5–1,Barcelona,Athletic Club,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
12/5/12,Wed,Champions Lg,Group stage,Home,D 0–0,es Barcelona,pt Benfica,N,,33,0,,0,,,,0,0,,,,,,,0,,,Match Report
12/9/12,Sun,La Liga,Matchweek 15,Away,W 2–1,Barcelona,Betis,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
12/16/12,Sun,La Liga,Matchweek 16,Home,W 4–1,Barcelona,Atlético Madrid,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
12/22/12,Sat,La Liga,Matchweek 17,Away,W 3–1,Barcelona,Valladolid,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
1/6/13,Sun,La Liga,Matchweek 18,Home,W 4–0,Barcelona,Espanyol,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Match Report
1/13/13,Sun,La Liga,Matchweek 19,Away,W 3–1,Barcelona,Málaga,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
1/19/13,Sat,La Liga,Matchweek 20,Away,L 2–3,Barcelona,Real Sociedad,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
1/27/13,Sun,La Liga,Matchweek 21,Home,W 5–1,Barcelona,Osasuna,Y,,90,4,,1,,,,0,0,,,,,,,0,,,Match Report
2/3/13,Sun,La Liga,Matchweek 22,Away,D 1–1,Barcelona,Valencia,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Match Report
2/10/13,Sun,La Liga,Matchweek 23,Home,W 6–1,Barcelona,Getafe,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2/16/13,Sat,La Liga,Matchweek 24,Away,W 2–1,Barcelona,Granada,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2/20/13,Wed,Champions Lg,Round of 16,Away,L 0–2,es Barcelona,it Milan,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2/23/13,Sat,La Liga,Matchweek 25,Home,W 2–1,Barcelona,Sevilla,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
3/2/13,Sat,La Liga,Matchweek 26,Away,L 1–2,Barcelona,Real Madrid,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
3/9/13,Sat,La Liga,Matchweek 27,Home,W 2–0,Barcelona,La Coruña,N,,30,1,,0,,,,0,0,,,,,,,0,,,Match Report
3/12/13,Tue,Champions Lg,Round of 16,Home,W 4–0,es Barcelona,it Milan,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
3/17/13,Sun,La Liga,Matchweek 28,Home,W 3–1,Barcelona,Rayo Vallecano,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
3/22/13,Fri,WCQ,WCQ — CONMEBOL (M),Home,W 3–0,ar Argentina,ve Venezuela,Y*,,90,1,0,1,1,,,0,0,,,,,,,0,,,Match Report
3/26/13,Tue,WCQ,WCQ — CONMEBOL (M),Away,D 1–1,ar Argentina,bo Bolivia,Y*,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
3/30/13,Sat,La Liga,Matchweek 29,Away,D 2–2,Barcelona,Celta Vigo,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
4/2/13,Tue,Champions Lg,Quarter-finals,Away,D 2–2,es Barcelona,fr Paris S-G,Y,,45,1,,0,,,,0,0,,,,,,,0,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/13,Wed,Champions Lg,Quarter-finals,Home,D 1–1,es Barcelona,fr Paris S-G,N,,29,0,,0,,,,0,0,,,,,,,0,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/13,Tue,Champions Lg,Semi-finals,Away,L 0–4,es Barcelona,de Bayern Munich,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
4/27/13,Sat,La Liga,Matchweek 33,Away,D 2–2,Barcelona,Athletic Club,N,,33,1,,0,,,,0,0,,,,,,,0,,,Match Report
5/5/13,Sun,La Liga,Matchweek 34,Home,W 4–2,Barcelona,Betis,N,,34,2,,0,,,,0,0,,,,,,,0,,,Match Report
5/12/13,Sun,La Liga,Matchweek 35,Away,W 2–1,Barcelona,Atlético Madrid,Y,,70,0,,0,,,,0,0,,,,,,,0,,,Match Report
6/7/13,Fri,WCQ,WCQ — CONMEBOL (M),Home,D 0–0,ar Argentina,co Colombia,N,,34,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
6/11/13,Tue,WCQ,WCQ — CONMEBOL (M),Away,D 1–1,ar Argentina,ec Ecuador,N,,31,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
,,,,,35-11-5,,,43/51,,"4,062",59,0,5,1,,,1,0,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
